FTEN20200315900,TENET (TRL. F2) 2D,WARNER BROS. MALAYSIA SDN. BHD.,LULUS BERSIH (LB),U,2/1/2020
FCBM20200316328,TUJU-TUJU,MADNESS FILMS SDN. BHD.,LULUS BERSIH (LB),P13,2/1/2020
FTKT20200316367,ALL'S WELL END'S WELL 2020,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS BERSIH DENGAN PENGUBAHAN LAIN (LBP),U,3/1/2020
FTBM20200316376,ZOMBITOPIA,YUSARI FILEM SDN. BHD.,LULUS BERSIH (LB),U,3/1/2020
FCIN20200316381,RUMAH KENTANG: THE BEGINING,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),18,3/1/2020
FCBM20200316377,MIIMALAND,MICO STUDIO (M) SDN. BHD.,LULUS BERSIH (LB),P13,3/1/2020
FCTM20200316402,MR.PEYII,UNISON PRODUCTION SDN BHD,LULUS BERSIH (LB),P13,3/1/2020
FTEN20200316396,DOLITTLE LUNAR NEW YEAR GREETING PSA (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),U,6/1/2020
FCHD20200316432,TANHAJI,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),18,6/1/2020
FTHD20200316433,TANHAJI (TRELER 1),SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,6/1/2020
FTHD20200316434,TANHAJI (TRELER 2),SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS BERSIH (LB),U,6/1/2020
FTKT20200316391,GOOD WEALTH 2020,JET POH ASIA MEDIA SDN BHD,LULUS BERSIH (LB),U,6/1/2020
FMJP20200316444,"LOVE LIVE ! NIJIGASAKI HIGH SCHOOL CLUB IDOL FIRST LIVE "" WITH YOU """,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,7/1/2020
FCTL20200316413,ALA VAIKUNTHAPURAMLO,MSK FILM PRODUCTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,7/1/2020
FCKT20200316256,AMAZING SPRING,THE FILM ENGINE SDN. BHD.,LULUS BERSIH (LB),P13,7/1/2020
FCTL20200316431,SARILERU NEEKEVVARU,SUARA NETWORKS AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,8/1/2020
